customer_id,name,email,phone,location,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
1,Chatresh Chacko,veergupta@example.org,2580224556,"Bhargava Ganj, Mylapore, Chennai, Tamil Nadu, India - 513679",2020-08-17,0,North Indian,29,0.91
2,Jason Bhattacharyya,kai10@example.com,+918086735244,"Kale Road, Mylapore, Chennai, Tamil Nadu, India - 155029",2022-05-30,1,Continental,90,4.08
3,Fariq Vora,manthanbrar@example.org,+918751477020,"Choudhary Marg, Kodambakkam, Chennai, Tamil Nadu, India - 809465",2020-01-20,0,South Indian,61,4.37
4,Anmol Viswanathan,bahadurjitdesai@example.com,+912487388841,"Rama Path, Mylapore, Chennai, Tamil Nadu, India - 007160",2020-01-02,0,Continental,23,2.64
5,Neel Gokhale,chadaekaja@example.org,+914996146191,"Magar Street, Mylapore, Chennai, Tamil Nadu, India - 956529",2025-02-17,1,North Indian,34,1.32
6,Arjun Dhaliwal,triveni98@example.com,+912487353808,"Bhat Road, Velachery, Chennai, Tamil Nadu, India - 333292",2022-12-26,0,Continental,8,2.98
7,Upma Wali,om01@example.com,7293548271,"Garg Path, Chrompet, Chennai, Tamil Nadu, India - 434737",2024-09-26,1,Continental,29,3.21
8,Jeremiah Kaur,ccheema@example.com,+912638198938,"Chakraborty Nagar, Chrompet, Chennai, Tamil Nadu, India - 252794",2022-06-09,1,South Indian,68,1.31
9,Pratyush Yogi,kritika55@example.com,6460591121,"Dewan Nagar, Anna Nagar, Chennai, Tamil Nadu, India - 124839",2021-10-12,0,South Indian,99,4.54
10,Anusha Arora,henrywason@example.com,+919875150122,"Sangha Chowk, Adyar, Chennai, Tamil Nadu, India - 782335",2020-02-14,0,Continental,89,4.67
11,Warda Sant,sainireva@example.org,03060595637,"Sani Ganj, Guindy, Chennai, Tamil Nadu, India - 646703",2021-12-27,1,North Indian,93,2.43
12,Chameli Thaman,reyanshramachandran@example.net,05918522653,"Prabhu Ganj, Tambaram, Chennai, Tamil Nadu, India - 675175",2020-11-03,0,South Indian,42,3.77
13,Pooja Pau,matthew03@example.net,8679458736,"Dhillon, Mylapore, Chennai, Tamil Nadu, India - 211720",2020-06-27,1,Chinese,71,4.75
14,Warhi Kannan,xavierpalan@example.com,01698523936,"Mohan Path, Nungambakkam, Chennai, Tamil Nadu, India - 680104",2024-09-11,0,Chinese,14,3.59
15,Azad Chopra,harinakshigoda@example.net,+917713505925,"Aurora Path, Anna Nagar, Chennai, Tamil Nadu, India - 097847",2021-05-20,0,Italian,72,0.90
16,Rachit Shere,vasudhanarain@example.net,+911415741768,"Batta Zila, Guindy, Chennai, Tamil Nadu, India - 086176",2025-07-08,1,Chinese,36,4.85
17,Rajeshri Shukla,imodi@example.com,9775307056,"Om Street, Nungambakkam, Chennai, Tamil Nadu, India - 517375",2022-09-12,1,Continental,92,2.26
18,Falguni Agarwal,pandyajasmit@example.org,+914561209725,"Goyal, T. Nagar, Chennai, Tamil Nadu, India - 616092",2024-02-21,0,South Indian,44,1.51
19,Yamini Som,ridhi54@example.org,05639645871,"Walla Zila, Perungudi, Chennai, Tamil Nadu, India - 080615",2022-12-07,0,Chinese,48,0.32
20,Xalak Modi,arjundora@example.org,09307317985,"Nath Marg, Kodambakkam, Chennai, Tamil Nadu, India - 215350",2020-11-06,1,Italian,6,2.78
21,Qadim Comar,aahanaedwin@example.org,+916145227824,"Tata Nagar, Nungambakkam, Chennai, Tamil Nadu, India - 647136",2020-06-03,1,Continental,65,4.25
22,Krish Basak,obhardwaj@example.net,00143792745,"Kala Marg, Velachery, Chennai, Tamil Nadu, India - 883011",2025-06-06,1,North Indian,13,2.61
23,Agastya More,tsingh@example.net,07056395698,"Mani Chowk, Tambaram, Chennai, Tamil Nadu, India - 632761",2020-11-27,0,North Indian,97,2.53
24,Chasmum Sodhi,joshuataneja@example.net,+919247972162,"Borah Nagar, Kodambakkam, Chennai, Tamil Nadu, India - 028790",2022-09-26,1,South Indian,88,0.78
25,Jagat Vora,egera@example.com,00962115653,"Patla Chowk, Velachery, Chennai, Tamil Nadu, India - 367782",2022-02-16,1,Italian,1,2.01
26,Tarak Rout,bbala@example.org,1511336226,"Dyal Circle, Guindy, Chennai, Tamil Nadu, India - 685815",2020-05-26,1,Continental,4,3.52
27,Amrita Om,sai34@example.net,9568296350,"Dhillon Nagar, T. Nagar, Chennai, Tamil Nadu, India - 955571",2022-08-26,0,Continental,52,4.39
28,Charan De,idalia@example.com,6429083298,"Das Marg, Adyar, Chennai, Tamil Nadu, India - 036066",2020-12-12,1,Chinese,24,3.44
29,Ishwar Desai,dugarmadhavi@example.com,+915909621366,"Grewal Chowk, Anna Nagar, Chennai, Tamil Nadu, India - 957206",2022-01-14,1,Italian,35,0.79
30,Vedika Rai,pandeyucchal@example.org,+911027045237,"Mand Nagar, Velachery, Chennai, Tamil Nadu, India - 164652",2022-06-08,1,North Indian,85,4.89
31,Bhanumati Barad,uchoudhry@example.net,08843725620,"Balay Circle, T. Nagar, Chennai, Tamil Nadu, India - 245262",2024-12-24,0,South Indian,41,1.26
32,Ekapad Madan,yuvraj19@example.net,+911699887225,"Kamdar Zila, Anna Nagar, Chennai, Tamil Nadu, India - 219172",2020-01-04,0,Chinese,14,4.10
33,Aarav Agarwal,vidhi99@example.net,00101275970,"Manne Zila, Velachery, Chennai, Tamil Nadu, India - 971533",2020-10-01,0,South Indian,19,4.47
34,Zayyan Madan,upadhriti35@example.net,01187700494,"Bassi Road, Kilpauk, Chennai, Tamil Nadu, India - 337642",2024-10-14,1,South Indian,72,3.01
35,Omaja Sahota,rcherian@example.org,+910616609579,"Mahajan Road, Adyar, Chennai, Tamil Nadu, India - 404695",2023-12-16,0,South Indian,44,0.78
36,Ekaja Bobal,mohini41@example.org,+916968406151,"Parekh Ganj, T. Nagar, Chennai, Tamil Nadu, India - 808981",2024-04-15,1,Chinese,7,2.13
37,Aditya Dass,eesha77@example.net,06125786487,"Nair Zila, Nungambakkam, Chennai, Tamil Nadu, India - 399048",2023-10-13,1,Chinese,95,2.82
38,Gopal Mand,gthaman@example.net,05383333318,"Rattan Zila, Tambaram, Chennai, Tamil Nadu, India - 839763",2024-07-03,1,Continental,18,1.02
39,Dhruv Kala,rohankuruvilla@example.net,1765622831,"Sachdeva Ganj, Nungambakkam, Chennai, Tamil Nadu, India - 296461",2024-01-12,0,South Indian,36,2.64
40,Upkaar Lalla,ladlaban@example.org,+917692613544,"Bansal Chowk, Perungudi, Chennai, Tamil Nadu, India - 559306",2024-10-10,0,North Indian,86,1.76
41,Jeevika Garde,xpillay@example.com,4641757459,"Thakur Zila, T. Nagar, Chennai, Tamil Nadu, India - 242536",2022-08-11,0,North Indian,8,0.22
42,Zansi Walia,daksheshsawhney@example.net,+910612122733,"Deo Nagar, Chrompet, Chennai, Tamil Nadu, India - 658754",2021-07-05,1,North Indian,26,2.93
43,Falan Kuruvilla,chardhriti@example.com,3174967452,"Narang Circle, Adyar, Chennai, Tamil Nadu, India - 960791",2025-05-06,1,Continental,82,1.37
44,Eesha Chandra,binamall@example.com,04198156574,"Bala Zila, T. Nagar, Chennai, Tamil Nadu, India - 404877",2021-12-08,1,Chinese,99,2.55
45,Jeevika Sama,timothydatta@example.org,+916982689849,"Edwin Marg, Anna Nagar, Chennai, Tamil Nadu, India - 428728",2023-08-20,0,Chinese,38,4.73
46,Sai Bumb,veer52@example.net,+916211460992,"Lata Circle, Guindy, Chennai, Tamil Nadu, India - 956400",2022-04-19,1,Chinese,66,1.85
47,Ishwar Chahal,jyotibiswas@example.org,5853075368,"Khalsa Road, Mylapore, Chennai, Tamil Nadu, India - 964477",2021-02-19,1,North Indian,78,0.20
48,Advaith Devan,twable@example.com,+918740726658,"Kothari, Guindy, Chennai, Tamil Nadu, India - 644494",2020-12-17,1,Chinese,93,4.14
49,Kala Kaur,triya33@example.com,04355608199,"Mahal, Nungambakkam, Chennai, Tamil Nadu, India - 006124",2022-08-16,1,South Indian,41,2.03
50,Abhiram Dubey,watika26@example.net,+918575530239,"Sheth Circle, Chrompet, Chennai, Tamil Nadu, India - 115597",2021-10-17,0,Chinese,50,3.63
51,Ridhi Gera,auroraxalak@example.net,0519750401,"Sidhu Nagar, Tambaram, Chennai, Tamil Nadu, India - 097165",2022-11-30,0,Chinese,97,4.04
52,Rushil Gulati,jeet17@example.org,00974849614,"Rajan Street, Anna Nagar, Chennai, Tamil Nadu, India - 192462",2020-08-05,1,Continental,32,0.49
53,Viraj Kannan,jeremiah14@example.com,4942636623,"Bawa Path, Perungudi, Chennai, Tamil Nadu, India - 614694",2024-07-14,1,Continental,93,3.88
54,Gaurav Prasad,yatin42@example.org,02591961001,"Ram, Kilpauk, Chennai, Tamil Nadu, India - 073803",2021-07-23,0,South Indian,5,0.89
55,Darsh Seth,sviswanathan@example.net,05177159459,"Rau Zila, Kodambakkam, Chennai, Tamil Nadu, India - 407560",2022-02-14,1,Continental,86,4.78
56,Urvashi Mittal,grewalsaanvi@example.org,05156236196,"Jha Road, Perungudi, Chennai, Tamil Nadu, India - 684760",2020-12-07,1,Chinese,100,1.81
57,Isaiah Shetty,triya41@example.net,08744657955,"Rattan Road, Chrompet, Chennai, Tamil Nadu, India - 183816",2023-01-23,0,South Indian,54,1.81
58,Daksh Vala,janyasarraf@example.com,+912453511084,"Sinha Circle, Tambaram, Chennai, Tamil Nadu, India - 586021",2024-09-28,0,South Indian,85,4.53
59,Idika Hegde,kalarachit@example.net,+914314981233,"Shetty Path, Guindy, Chennai, Tamil Nadu, India - 758662",2023-01-31,1,Chinese,28,3.62
60,Wahab Chawla,ridhi85@example.com,2447313895,"Saini, Anna Nagar, Chennai, Tamil Nadu, India - 238966",2022-02-26,0,Chinese,28,3.80
61,Jeevika Sharma,neel44@example.org,+912548114637,"Prakash Marg, Kilpauk, Chennai, Tamil Nadu, India - 686635",2025-04-16,0,Chinese,68,2.26
62,Pratyush Mutti,echopra@example.com,05742860078,"Chauhan Ganj, Anna Nagar, Chennai, Tamil Nadu, India - 777775",2025-01-29,1,Italian,50,2.73
63,Naveen Agate,basusanya@example.org,06865503054,"Thaman, Kodambakkam, Chennai, Tamil Nadu, India - 365722",2025-04-28,1,South Indian,88,4.87
64,Waida Sen,karankashvi@example.org,9967091884,"Kala, Kodambakkam, Chennai, Tamil Nadu, India - 785230",2024-06-05,0,North Indian,14,0.39
65,Damyanti Chowdhury,fdoshi@example.net,9950723762,"Saini Circle, Guindy, Chennai, Tamil Nadu, India - 800393",2025-04-29,1,Continental,89,2.96
66,Zaitra Mukhopadhyay,msaran@example.com,2138060773,"Mahal Road, T. Nagar, Chennai, Tamil Nadu, India - 773261",2020-08-23,1,Continental,5,0.20
67,Ikbal Char,wazirpalla@example.net,06297886665,"Venkataraman Road, Adyar, Chennai, Tamil Nadu, India - 396121",2020-11-17,1,Chinese,1,2.67
68,Abdul Balan,bthakkar@example.net,06122471722,"Sinha Nagar, Kilpauk, Chennai, Tamil Nadu, India - 766472",2022-06-26,1,Italian,43,1.58
69,Isha Balay,aachal61@example.net,+915163108715,"Prabhu Chowk, Velachery, Chennai, Tamil Nadu, India - 067325",2021-09-10,0,Italian,59,2.17
70,Aarna Mani,lohitchaudhary@example.com,01228588295,"Loke Marg, T. Nagar, Chennai, Tamil Nadu, India - 264453",2023-09-05,0,North Indian,41,2.51
71,Ishwar Seshadri,fdube@example.org,+918054366456,"Venkatesh Chowk, Kilpauk, Chennai, Tamil Nadu, India - 090223",2020-02-21,1,Italian,75,4.14
72,Finn Pillay,libnisehgal@example.org,+911794590002,"Devi Path, Kilpauk, Chennai, Tamil Nadu, India - 662601",2021-07-07,0,Continental,12,0.78
73,Falguni Bali,sbhandari@example.org,+919099097076,"Chandran Ganj, Perungudi, Chennai, Tamil Nadu, India - 777470",2024-08-09,0,Continental,41,4.49
74,Sudiksha Sangha,ttoor@example.com,1058732527,"Johal, Kilpauk, Chennai, Tamil Nadu, India - 650512",2022-09-06,1,Chinese,64,1.19
