delivery_person_id,name,contact_number,vehicle_type,total_deliveries,average_rating,location
1,Gopal Iyengar,2399064847,Electric Bike,260,2.79,"Sodhi Path, Guindy, Chennai, Tamil Nadu, India - 855532"
2,Vivaan Chokshi,7511941380,Moped,73,3.54,"Sethi Path, Guindy, Chennai, Tamil Nadu, India - 618928"
3,Sathvik Ratta,03185503418,Scooter,212,4.15,"Shah Circle, Kodambakkam, Chennai, Tamil Nadu, India - 999585"
4,Lohit Biswas,2632023974,Scooter,245,2.33,"Venkataraman Marg, Tambaram, Chennai, Tamil Nadu, India - 197423"
5,Veer Madan,03378694937,Moped,100,4.16,"Sanghvi Road, Guindy, Chennai, Tamil Nadu, India - 499683"
6,Tanay Kashyap,06752274869,Electric Bike,122,0.04,"Patel Chowk, Guindy, Chennai, Tamil Nadu, India - 191696"
7,Xavier Om,+914966436803,Electric Bike,219,1.12,"Khatri Circle, Tambaram, Chennai, Tamil Nadu, India - 824689"
8,Pallavi Mani,9152071308,Bike,80,0.75,"Brar Chowk, Kodambakkam, Chennai, Tamil Nadu, India - 252186"
9,Rehaan Nagi,+915972140161,Motorcycle,14,1.51,"Shenoy, Tambaram, Chennai, Tamil Nadu, India - 545054"
10,Yoshita Ram,+913109764011,Scooter,205,3.16,"Gole Zila, Chrompet, Chennai, Tamil Nadu, India - 658222"
11,Ekaraj Sule,0774338200,Electric Scooter,161,1.27,"Mohanty Zila, Kilpauk, Chennai, Tamil Nadu, India - 319598"
12,Chaitaly Kakar,+912539934372,Bike,84,3.17,"Shah Marg, Mylapore, Chennai, Tamil Nadu, India - 664116"
13,Yatin Handa,05128187638,Electric Scooter,85,4.90,"Chaudhary, Chrompet, Chennai, Tamil Nadu, India - 967058"
14,Teerth Mani,+915953666653,Bike,67,2.65,"Bera Marg, Anna Nagar, Chennai, Tamil Nadu, India - 378868"
15,Ranveer Johal,4850460310,Electric Bike,72,0.21,"Batta Road, Tambaram, Chennai, Tamil Nadu, India - 059400"
16,Nathaniel Chad,+918070540928,Bike,217,2.52,"Hans Path, Perungudi, Chennai, Tamil Nadu, India - 786709"
17,Ojasvi Kakar,5352377974,Motorcycle,290,1.69,"Hayer Chowk, Adyar, Chennai, Tamil Nadu, India - 576805"
18,Samesh Sinha,05818552120,Electric Bike,246,4.62,"Ratti Path, T. Nagar, Chennai, Tamil Nadu, India - 219097"
19,Krishna Merchant,+916989795849,Electric Bike,289,1.14,"Pandey Chowk, Chrompet, Chennai, Tamil Nadu, India - 700464"
20,Mugdha Lata,08530790012,Electric Bike,184,1.20,"Soman Road, Mylapore, Chennai, Tamil Nadu, India - 221330"
21,Wahab Kaul,04064593264,Electric Bike,293,1.42,"Memon Road, T. Nagar, Chennai, Tamil Nadu, India - 548568"
22,Naksh Misra,01571858735,Bike,133,0.65,"Mohanty Chowk, Guindy, Chennai, Tamil Nadu, India - 780917"
23,Nihal Guha,9082087522,Moped,21,1.60,"Borra Nagar, Anna Nagar, Chennai, Tamil Nadu, India - 858690"
24,Tara Nadig,+911972801711,Scooter,266,0.56,"Pandey, Adyar, Chennai, Tamil Nadu, India - 897636"
25,Osha Dhingra,09700942497,Bike,271,0.90,"Bava Street, Nungambakkam, Chennai, Tamil Nadu, India - 662923"
26,Anirudh Mammen,09613739355,Moped,244,1.72,"Bhatia, Mylapore, Chennai, Tamil Nadu, India - 183587"
27,Tarak Mandal,02361330728,Bike,147,2.90,"Sane Marg, Velachery, Chennai, Tamil Nadu, India - 763351"
28,Oliver Mall,02969637435,Motorcycle,290,4.33,"Chaudhary Ganj, Adyar, Chennai, Tamil Nadu, India - 132874"
29,Harini Pal,05099612800,Scooter,155,3.91,"Varughese Circle, Chrompet, Chennai, Tamil Nadu, India - 542710"
30,Kamala Chaudhuri,02689450748,Bike,32,4.97,"Tandon Road, Anna Nagar, Chennai, Tamil Nadu, India - 535522"
31,Damini Banik,+913748492036,Motorcycle,227,3.56,"Basak Zila, T. Nagar, Chennai, Tamil Nadu, India - 229061"
32,Udant Bala,09992413393,Scooter,161,2.86,"Khosla Circle, Nungambakkam, Chennai, Tamil Nadu, India - 144883"
33,Raksha Chana,8535124725,Motorcycle,173,1.60,"Sinha Circle, Anna Nagar, Chennai, Tamil Nadu, India - 361394"
34,Vasatika Mander,+919741060721,Bike,177,1.52,"Khurana Marg, Guindy, Chennai, Tamil Nadu, India - 812821"
35,Chandani Cherian,0417355541,Electric Scooter,43,1.45,"Zacharia Circle, T. Nagar, Chennai, Tamil Nadu, India - 840592"
36,Deepa Mammen,7319704936,Electric Bike,88,0.61,"Kala Marg, Mylapore, Chennai, Tamil Nadu, India - 062047"
37,Baljiwan Mohanty,+911447857210,Bike,65,4.00,"Kaul Street, Anna Nagar, Chennai, Tamil Nadu, India - 455027"
38,Damyanti Bains,0951583095,Moped,109,0.61,"Bajwa Path, T. Nagar, Chennai, Tamil Nadu, India - 946060"
39,Jack Dash,2066606386,Moped,219,2.90,"Dewan Chowk, Velachery, Chennai, Tamil Nadu, India - 590785"
40,Suhani Bandi,+915821110174,Motorcycle,196,1.68,"Aggarwal Marg, T. Nagar, Chennai, Tamil Nadu, India - 323771"
41,Tara Reddy,+914551797368,Bike,19,0.25,"Chaudhuri Circle, Chrompet, Chennai, Tamil Nadu, India - 245846"
42,Jonathan Sur,7925517294,Moped,268,1.19,"Sarin Marg, Kodambakkam, Chennai, Tamil Nadu, India - 443183"
43,Jyoti De,06103711443,Scooter,141,1.25,"Walla Chowk, Nungambakkam, Chennai, Tamil Nadu, India - 123623"
44,Andrew Gara,+913348825821,Electric Bike,285,4.15,"Banerjee Zila, T. Nagar, Chennai, Tamil Nadu, India - 743643"
45,Laksh Bandi,+910536615678,Electric Bike,242,3.87,"Thakkar Zila, Kodambakkam, Chennai, Tamil Nadu, India - 278304"
46,Ati Batra,7067273098,Electric Bike,130,0.61,"Saraf Road, Velachery, Chennai, Tamil Nadu, India - 699691"
47,Omisha Bhat,+918356362063,Moped,149,0.50,"Subramaniam Path, Perungudi, Chennai, Tamil Nadu, India - 122723"
48,Ria Kota,07568040385,Electric Bike,93,4.78,"Hayer Path, T. Nagar, Chennai, Tamil Nadu, India - 738580"
49,Balveer Chatterjee,+911604631463,Electric Bike,87,1.36,"Manda Zila, Tambaram, Chennai, Tamil Nadu, India - 810172"
50,Mason Dhaliwal,05025556424,Scooter,70,0.13,"Goda Zila, Perungudi, Chennai, Tamil Nadu, India - 933895"
51,Mahika Buch,06367722970,Motorcycle,220,1.95,"Guha Street, Velachery, Chennai, Tamil Nadu, India - 182839"
52,Pratyush Deshpande,07615065846,Electric Scooter,189,0.29,"Venkatesh Path, Anna Nagar, Chennai, Tamil Nadu, India - 805154"
53,Tanvi Khare,09253949515,Electric Bike,137,2.88,"Kadakia Nagar, Kilpauk, Chennai, Tamil Nadu, India - 370190"
54,Dalbir Chand,07881645829,Moped,30,1.86,"Atwal, Mylapore, Chennai, Tamil Nadu, India - 545063"
55,Darpan Chakraborty,+911270462306,Motorcycle,25,4.18,"Menon Zila, Chrompet, Chennai, Tamil Nadu, India - 207055"
56,Harita Mahal,+912064778712,Bike,242,4.25,"Sharma Street, T. Nagar, Chennai, Tamil Nadu, India - 337692"
57,Faqid Chowdhury,+912149600609,Motorcycle,172,0.24,"Oommen Street, Mylapore, Chennai, Tamil Nadu, India - 236924"
58,Indira Kale,0402706401,Electric Scooter,85,1.56,"Dixit Marg, Velachery, Chennai, Tamil Nadu, India - 162336"
59,Bakhshi Manne,8152688649,Motorcycle,123,1.58,"Mody Chowk, Adyar, Chennai, Tamil Nadu, India - 500994"
60,Naksh Gokhale,+910891163434,Electric Bike,217,0.87,"Rao Marg, Chrompet, Chennai, Tamil Nadu, India - 560640"
61,Pratyush Mistry,3575671987,Moped,125,0.01,"Ravi Ganj, Nungambakkam, Chennai, Tamil Nadu, India - 709910"
62,Panini Mital,+912557362964,Electric Bike,100,4.53,"Kakar Marg, Adyar, Chennai, Tamil Nadu, India - 675401"
63,Jagvi Kannan,05670861617,Bike,257,3.88,"Parmer Circle, Nungambakkam, Chennai, Tamil Nadu, India - 596927"
64,Anusha Wali,+915317652807,Electric Bike,68,1.95,"Sankar Marg, Nungambakkam, Chennai, Tamil Nadu, India - 701878"
65,Jackson Krishnamurthy,00025601921,Electric Scooter,202,4.47,"Sha Ganj, Adyar, Chennai, Tamil Nadu, India - 679235"
66,Harinakshi Thakur,+913066644683,Scooter,41,3.99,"Tandon Chowk, Anna Nagar, Chennai, Tamil Nadu, India - 001797"
67,Gautami Sami,6111366175,Scooter,104,3.31,"Uppal Nagar, Kilpauk, Chennai, Tamil Nadu, India - 656734"
68,Gaurang Krishna,05720774149,Electric Bike,66,1.18,"Gaba Marg, Nungambakkam, Chennai, Tamil Nadu, India - 223354"
69,Triya Chandra,3612180669,Electric Bike,78,0.24,"Wable Marg, Adyar, Chennai, Tamil Nadu, India - 227439"
70,Lohit Khare,07683850430,Electric Scooter,168,4.12,"Viswanathan Zila, Chrompet, Chennai, Tamil Nadu, India - 893873"
71,Thomas Dubey,+915860028025,Electric Bike,291,4.62,"Dash Street, Tambaram, Chennai, Tamil Nadu, India - 681124"
72,Nicholas Sood,2389276041,Moped,37,1.96,"Bhatti Chowk, Perungudi, Chennai, Tamil Nadu, India - 278933"
73,Gagan Mangal,3160288421,Scooter,1,4.63,"Basak Road, Anna Nagar, Chennai, Tamil Nadu, India - 847542"
74,Anirudh Sinha,3573734388,Electric Scooter,46,1.24,"Sha Street, Kilpauk, Chennai, Tamil Nadu, India - 600675"
75,Udarsh Balakrishnan,+912323622200,Electric Scooter,299,2.02,"Thakkar Marg, Chrompet, Chennai, Tamil Nadu, India - 116083"
76,Yuvraj Shetty,+912137664033,Electric Bike,68,4.50,"Aurora Chowk, T. Nagar, Chennai, Tamil Nadu, India - 821277"
77,Ekapad Chana,+918244420045,Moped,233,2.58,"Dass Zila, Kodambakkam, Chennai, Tamil Nadu, India - 177669"
78,Nathan Chawla,+910454138798,Motorcycle,138,4.37,"Viswanathan Ganj, Anna Nagar, Chennai, Tamil Nadu, India - 586586"
79,Faris Murty,6040729785,Moped,180,1.87,"Chad Chowk, T. Nagar, Chennai, Tamil Nadu, India - 046993"
80,Finn Bajaj,06687600686,Electric Bike,97,1.12,"Doctor Circle, Tambaram, Chennai, Tamil Nadu, India - 844820"
81,Manya Dalal,04440089431,Moped,257,2.60,"Handa, Velachery, Chennai, Tamil Nadu, India - 086162"
82,Reyansh Wason,06916964068,Scooter,240,3.02,"Reddy Nagar, Nungambakkam, Chennai, Tamil Nadu, India - 524359"
83,Devika Munshi,04953246963,Scooter,77,4.58,"Ben Street, Mylapore, Chennai, Tamil Nadu, India - 237676"
84,Ria Reddy,9999665763,Motorcycle,234,2.19,"Soman Circle, Mylapore, Chennai, Tamil Nadu, India - 962222"
85,Chaitanya Nagar,+911427760919,Scooter,90,0.34,"Grover Road, Mylapore, Chennai, Tamil Nadu, India - 577222"
86,Inaya Sawhney,+915245393908,Electric Scooter,33,3.65,"Tak Chowk, Perungudi, Chennai, Tamil Nadu, India - 749319"
87,Aarini Minhas,+919844547810,Scooter,272,4.60,"Randhawa Road, Velachery, Chennai, Tamil Nadu, India - 028288"
88,Ronith Keer,03351436305,Motorcycle,177,3.74,"Chana, Tambaram, Chennai, Tamil Nadu, India - 398569"
89,Chandran Dutta,09241196190,Electric Scooter,86,2.55,"Basu Street, Chrompet, Chennai, Tamil Nadu, India - 402917"
